# extension_admission_front — the complete truth table.
# All 324 rows of the state space (2 x 3 x 3 x 3 x 3 x 2), not a sample.
# Columns: <argv>\t<expected stdout>\t<expected exit status>
# argv order: OPERATOR ORIGIN INTEGRITY PROOF FLOOR CONTAINMENT
requested attested verified reproved floor_reproved contained	admit	0
requested attested verified reproved floor_reproved uncontained	admit	0
requested attested verified reproved floor_carried contained	admit	0
requested attested verified reproved floor_carried uncontained	admit	0
requested attested verified reproved floor_none contained	admit	0
requested attested verified reproved floor_none uncontained	admit	0
requested attested verified carried floor_reproved contained	refuse_proof_not_reproved	1
requested attested verified carried floor_reproved uncontained	refuse_proof_not_reproved	1
requested attested verified carried floor_carried contained	admit	0
requested attested verified carried floor_carried uncontained	admit	0
requested attested verified carried floor_none contained	admit	0
requested attested verified carried floor_none uncontained	admit	0
requested attested verified absent floor_reproved contained	refuse_proof_absent	1
requested attested verified absent floor_reproved uncontained	refuse_proof_absent	1
requested attested verified absent floor_carried contained	refuse_proof_absent	1
requested attested verified absent floor_carried uncontained	refuse_proof_absent	1
requested attested verified absent floor_none contained	admit	0
requested attested verified absent floor_none uncontained	refuse_uncontained_unproven	1
requested attested mismatch reproved floor_reproved contained	refuse_integrity_mismatch	1
requested attested mismatch reproved floor_reproved uncontained	refuse_integrity_mismatch	1
requested attested mismatch reproved floor_carried contained	refuse_integrity_mismatch	1
requested attested mismatch reproved floor_carried uncontained	refuse_integrity_mismatch	1
requested attested mismatch reproved floor_none contained	refuse_integrity_mismatch	1
requested attested mismatch reproved floor_none uncontained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_reproved contained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_reproved uncontained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_carried contained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_carried uncontained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_none contained	refuse_integrity_mismatch	1
requested attested mismatch carried floor_none uncontained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_reproved contained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_reproved uncontained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_carried contained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_carried uncontained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_none contained	refuse_integrity_mismatch	1
requested attested mismatch absent floor_none uncontained	refuse_integrity_mismatch	1
requested attested unchecked reproved floor_reproved contained	refuse_integrity_unchecked	1
requested attested unchecked reproved floor_reproved uncontained	refuse_integrity_unchecked	1
requested attested unchecked reproved floor_carried contained	refuse_integrity_unchecked	1
requested attested unchecked reproved floor_carried uncontained	refuse_integrity_unchecked	1
requested attested unchecked reproved floor_none contained	refuse_integrity_unchecked	1
requested attested unchecked reproved floor_none uncontained	refuse_integrity_unchecked	1
requested attested unchecked carried floor_reproved contained	refuse_integrity_unchecked	1
